recommendationid,lookupkey,drugname,guidelinename,guidelineurl,implications,drugrecommendation,classification,phenotypes,activityscore,population,comments
4167649,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},streptomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167650,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},streptomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167651,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},tobramycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4168079,{'G6PD': 'Normal'},vitamin c,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status,Strong,{'G6PD': 'Normal'},{},general,
4167652,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},tobramycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167653,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},tobramycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167654,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},dibekacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167655,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},dibekacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167656,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},dibekacin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167657,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},neomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167658,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},neomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167659,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},neomycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167660,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},netilmicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167661,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},netilmicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167677,{'G6PD': 'Deficient'},dimercaprol,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status at standard doses,Optional,{'G6PD': 'Deficient'},{},general,"Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs."
4167662,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},netilmicin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167663,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},ribostamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Very high risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Avoid aminoglycoside anitbiotics unless the high risk of permanent hearing loss is outweighed by the severity of infection and lack of safe or effective alternative therapies.,Strong,{'MT-RNR1': 'increased risk of aminoglycoside-induced hearing loss'},{},general,"If no effective alternative to an aminoglycoside antibiotic is available, evaluate for hearing loss frequently during therapy and ensure that all appropriate precautions are utilized (e.g., lowest possible dose and duration, utilization of therapeutic drug monitoring, hydration, renal function monitoring)."
4167664,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},ribostamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Normal risk of developing hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Strong,{'MT-RNR1': 'normal risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167665,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},ribostamycin,MT-RNR1 and Aminoglycosides,https://cpicpgx.org/guidelines/cpic-guideline-for-aminoglycosides-and-mt-rnr1/,{'MT-RNR1': 'Weak or no evidence for an increased risk of MT-RNR1 associated hearing loss if administered an aminoglycoside antibiotic.'},Use aminoglycoside antibiotics at standard doses for the shortest feasible course with therapeutic dose monitoring. Evaluate regularly for hearing loss in line with local guidance.,Optional,{'MT-RNR1': 'uncertain risk of aminoglycoside-induced hearing loss'},{},general,"Individuals without MT-RNR1 aminoglycoside-induced hearing loss increased risk variants are still at risk of aminoglycoside-associated hearing loss, especially with high drug levels or prolonged courses."
4167666,{'G6PD': 'Normal'},aminosalicylic acid,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status,Strong,{'G6PD': 'Normal'},{},general,
4167667,{'G6PD': 'Deficient'},aminosalicylic acid,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status at standard doses,Optional,{'G6PD': 'Deficient'},{},general,"Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs."
4167668,{'G6PD': 'Deficient with CNSHA'},aminosalicylic acid,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'High risk of acute exacerbation of chronic hemolysis'},"Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended",Optional,{'G6PD': 'Deficient with CNSHA'},{},general,"There are insufficient data in patients with the G6PD Deficient with CNSHA phenotype, but the risk of using any drug should be weighed carefully against the benefits in these rare patients due to the underlying pathophysiology that confers high risk for acute exacerbation of chronic hemolysis."
4167669,{'G6PD': 'Variable'},aminosalicylic acid,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status at standard doses,Moderate,{'G6PD': 'Variable'},{},general,"Due to X-linked mosaicism, individuals with more than one X chromosome (e.g., females, individuals with Klinefelter syndrome) and heterozygous for one non-deficient (class IV) and one deficient (class I–III) allele may display a normal or a deficient phenotype."
4167670,{'G6PD': 'Indeterminate'},aminosalicylic acid,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Unknown risk of acute hemolytic anemia'},"To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.",Moderate,{'G6PD': 'Indeterminate'},{},general,
4167671,{'G6PD': 'Normal'},ciprofloxacin,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status,Strong,{'G6PD': 'Normal'},{},general,
4167672,{'G6PD': 'Deficient'},ciprofloxacin,G6PD,https://cpicpgx.org/guidelines/cpic-guideline-for-g6pd/,{'G6PD': 'Low-to-no risk of acute hemolytic anemia'},No reason to avoid based on G6PD status at standard doses,Optional,{'G6PD': 'Deficient'},{},general,"Closer monitoring may be indicated higher-than-normal dosages, and in the setting of infection or other oxidative stress including concomitant use of multiple medium and low-to-no risk drugs."
