id,publicationid,ethnicity,population,populationinfo,subjecttype,subjectcount,version
4164370,113537.0,Sub-Saharan African,Kenyan,Luhya in Webuye,,99,1
4164371,113537.0,Sub-Saharan African,Nigerian,Esan,,99,1
4164372,113537.0,Sub-Saharan African,Nigerian,Yoruba in Ibadan,,108,1
4164373,113537.0,Sub-Saharan African,Sierra Leonean,Mende,,85,1
4164374,117241.0,Sub-Saharan African,Ghanaian,,Warfarin treated patients,86,1
4164375,117241.0,Sub-Saharan African,Ghanaian,,Warfarin treated patients,84,1
4164376,114400.0,Sub-Saharan African,Afro-Latin Americans,,,89,1
4166031,113774.0,Latino,Brazilians,Quilombos,,144,1
4166032,113539.0,Latino,Costa Rican Mestizos,Central Valley,,221,1
4166033,113539.0,Latino,Costa Rican Mestizos,Guanacaste,,110,1
4166034,113539.0,Latino,Nicaraguan Mestizos,,,155,1
4166035,113528.0,Near Eastern,England London Ashkenazi Jews,,,500,1
4166036,113780.0,Near Eastern,Jordanians,,,146,1
4166037,113528.0,Near Eastern,Armenia combined Regions,,,100,1
4166038,113528.0,Near Eastern,Georgia Tibilisi,,,109,1
4166039,113528.0,Near Eastern,Germany DKMS - Turkey minority,,,4856,1
4166040,113528.0,Near Eastern,Iran Baloch,,,100,1
4166041,113528.0,Near Eastern,Iran Tehran,,,120,1
4166042,113528.0,Near Eastern,Israel Arab,,,12301,1
4166043,113528.0,Near Eastern,Israel Arab Druze,,,101,1
4166044,113528.0,Near Eastern,Israel Ashkenazi and Non Ashkenazi Jews,,,146,1
4166045,113528.0,Near Eastern,Israel Ashkenazi Jews,,,4625,1
4166046,113528.0,Near Eastern,Israel Druze,,,5914,1
4166047,113528.0,Near Eastern,Israel Georgia Jews,,,4471,1
4166048,113528.0,Near Eastern,Israel Iran Jews,,,8153,1
4166049,113528.0,Near Eastern,Israel Iraq Jews,,,13270,1
4166050,113528.0,Near Eastern,Israel Libya Jews,,,3739,1
4166051,113528.0,Near Eastern,Israel Morocco Jews,,,36718,1
4166052,113528.0,Near Eastern,Israel Tunisia Jews,,,9070,1
4166053,113528.0,Near Eastern,Israel USA Jews,,,6058,1
4166054,113528.0,Near Eastern,Israel YemenJews,,,15542,1
4166055,113528.0,Near Eastern,Libya Cyrenaica,,,118,1
4166056,113528.0,Near Eastern,Oman,,,118,1
4166057,113528.0,Near Eastern,Saudi Arabia Guraiat and Hail,,,213,1
4166058,113528.0,Near Eastern,Saudi Arabia pop 5,,,158,1
4166059,113528.0,Near Eastern,Tunisia,,,100,1
4166060,113528.0,Near Eastern,United Arab Emirates pop 2,,,373,1
4166061,113528.0,Near Eastern,USA NMDP Middle Eastern or North Coast of Africa,,,70890,1
4166062,113528.0,Near Eastern,Tunisia pop 3,,,104,1
4166063,113528.0,Near Eastern,Israel Ethiopia Jews,,,5928,1
4166064,113528.0,Near Eastern,Israel Argentina Jews,,,4307,1
4166065,113528.0,Near Eastern,Israel Bukhara Jews,,,2317,1
4166066,113528.0,Near Eastern,Israel Kavkazi Jews,,,2840,1
4166067,113528.0,Near Eastern,Israel Poland Jews,,,13871,1
4166068,113528.0,Near Eastern,Israel USSR Jews,,,45681,1
4166069,113814.0,Near Eastern,Iranian,Yazd Province,,90,1
4166070,113528.0,Oceanian,Australia Cape York Peninsula Aborigine,,,103,1
4166071,113528.0,Oceanian,Australia Yuendumu Aborigine,,,191,1
4166072,113528.0,Oceanian,New Zealand Maori with Admixed History,,,105,1
4166073,113528.0,Oceanian,Papua New Guinea Wosera Abelam,,,131,1
4166074,113528.0,Oceanian,USA Hawaii Okinawa,,,106,1
4166075,113528.0,Oceanian,USA NMDP Hawaiian or other Pacific Islander,,,11499,1
4166076,113528.0,Sub-Saharan African,Cameroon Beti,,,174,1
4166077,113528.0,Sub-Saharan African,Ghana Ga-Adangbe,,,131,1
4166078,113528.0,Sub-Saharan African,Kenya,,,144,1
4166079,113528.0,Sub-Saharan African,Kenya Luo,,,265,1
4166080,113528.0,Sub-Saharan African,Kenya Nandi,,,240,1
4166081,113528.0,Sub-Saharan African,"Kenya, Nyanza Province, Luo tribe",,,100,1
4166082,113528.0,Sub-Saharan African,Mali Bandiagara,,,138,1
4166083,113528.0,Sub-Saharan African,Senegal Niokholo Mandenka,,,165,1
4166084,113528.0,Sub-Saharan African,South Africa Black,,,200,1
4166085,113528.0,Sub-Saharan African,South Africa Natal Zulu,,,100,1
4166086,113528.0,Sub-Saharan African,Uganda Kampala,,,161,1
4166087,113528.0,Sub-Saharan African,Uganda Kampala pop 2,,,175,1
4166088,113528.0,Sub-Saharan African,USA NMDP African,,,28557,1
4166089,113528.0,Sub-Saharan African,Zimbabwe Harare Shona,,,230,1
4166090,113537.0,Sub-Saharan African,"Luhya in Webuye, Kenya",LWK,,116,1
4166091,113537.0,Sub-Saharan African,"Yoruba in Ibadan, Nigeria",YRI,,186,1
4164377,114361.0,African American/Afro-Caribbean,African American,,healthy subjects,408,1
4164378,114363.0,African American/Afro-Caribbean,African American,,healthy subjects,246,1
4164379,114365.0,African American/Afro-Caribbean,African American,Southern CA,healthy subjects,154,1
4164380,114367.0,African American/Afro-Caribbean,African American,Atlanta,healthy subjects,251,1
4164381,114369.0,African American/Afro-Caribbean,African American,,healthy subjects,193,1
4164382,114371.0,African American/Afro-Caribbean,African American,,healthy subjects,251,1
4164383,114373.0,African American/Afro-Caribbean,African American,,healthy subjects,251,1
4164384,114375.0,African American/Afro-Caribbean,African American,,controls,131,1
4164385,114375.0,African American/Afro-Caribbean,African American,,controls+psychiatric patients,222,1
4164386,114375.0,African American/Afro-Caribbean,African American,,psychiatric,91,1
4164387,114379.0,African American/Afro-Caribbean,African American,,healthy subjects+sickle cell patients,407,1
4164388,114385.0,African American/Afro-Caribbean,African American,,healthy subjects+sickle cell patients,422,1
4164389,114381.0,African American/Afro-Caribbean,African American,Atlanta,healthy subjects,280,1
4164390,114381.0,African American/Afro-Caribbean,African American,Kansas City,sickle cell patients,125,1
4164391,114381.0,African American/Afro-Caribbean,African American,Milwaukee,sickle cell patients,73,1
4164392,114387.0,African American/Afro-Caribbean,African American,,"healthy subjects, or with unrelated disease",272,1
4164393,114389.0,African American/Afro-Caribbean,African American,Kentucky,mentally ill patients,452,1
4164394,114391.0,African American/Afro-Caribbean,African American,Kansas City,sickle cell patients,154,1
4164395,114406.0,African American/Afro-Caribbean,Trinidadian,Afro-trinidadians,healthy subjects,103,1
4164396,114393.0,African American/Afro-Caribbean,African American,Atlanta,sickle cell patients,75,1
4164397,114402.0,African American/Afro-Caribbean,Costa Rican,Afro-Caribbean,healthy,49,1
4164398,114397.0,African American/Afro-Caribbean,Antillean,Dutch Caribbean living in the Netherlands,healthy,165,1
4164399,114397.0,African American/Afro-Caribbean,Antillean,"Island of Curacao, mainly African decent",mentally ill,231,1
4164400,114395.0,African American/Afro-Caribbean,African American,"self defined, living in the US",patients for which a PGx test was ordered,6762,1
4164401,114400.0,African American/Afro-Caribbean,Costa Rica & Cuba,Afro Latin American,Afro-descendants (Costa Rica) or 4 grandparents (Cuba),82,1
4164402,114404.0,African American/Afro-Caribbean,African American,African American/Black,US military volunteers,158,1
4164403,3001761.0,African American/Afro-Caribbean,People with African Ancestry in Southwest United States/African Caribbean in Barbados,,healthy subjects,157,1
4164404,114449.0,American,Canadian,Inuit,"healthy, unrelated in first degree",90,1
4164405,114451.0,American,Canadian,"Native Indians, Toronto",,39,1
4164406,114451.0,American,Canadian,"Native Indians, Toronto, mixed ancestry",,110,1
4164407,114454.0,American,Chilean,"Mapuches, Southern Chile",healthy subjects,84,1
4164408,114477.0,American,Panamanian,Embera,healthy subjects,136,1
4164409,114477.0,American,Panamanian,Ngawbe,healthy subjects,105,1
4164410,114470.0,American,Mexican,"Tepehuano, Guajolota Community",healthy subjects,85,1
4164411,114447.0,American,Argentinian+Paraguayan,Native Americans,healthy subjects,84,1
4164412,114459.0,American,Mexican,"Amerindian (Mixtecos, Tepehuanos, Maysa, Zapotecos)",healthy subjects,120,1
4164413,114480.0,American,Venezuelan,Bari,healthy subjects,40,1
4164414,114480.0,American,Venezuelan,"Bari, Panare, Pemon, Warao, Wayuu",healthy subjects,179,1
4164415,114480.0,American,Venezuelan,Panare,healthy subjects,46,1
4164416,114480.0,American,Venezuelan,Pemon,healthy subjects,40,1
4164417,114480.0,American,Venezuelan,Warao,healthy subjects,29,1
4164418,114480.0,American,Venezuelan,Wayuu,healthy subjects,24,1
4164419,114461.0,American,Mexican,5 Amerindian subpopulations,healthy subjects,291,1
4164420,114402.0,American,Costa Rican,Amerindian,healthy,197,1
4164421,114463.0,American,Mexican,Coras,healthy,81,1
4164422,114463.0,American,Mexican,Huicholes,healthy,107,1
4164423,114463.0,American,Mexican,Tarahumaras,healthy,74,1
4164424,114463.0,American,Mexican,Tepehuanos,healthy,129,1
4164425,114468.0,American,Mexican,Lacandones,healthy,154,1
4164426,114488.0,American,Venezuelan,Estado Aragua,,145,1
4164427,114472.0,American,Mexican Native,"Tzotzil, Tzeltal",healthy,110,1
4164428,114457.0,American,Ecuadorian,,healthy subjects,139,1
4164429,114444.0,American,American Native Indian,"Helena, Montana",psychiatric patients,123,1
4164430,114442.0,American,Alaska Native,AIAN people,,380,1
4164431,114442.0,American,American Native Indian,Kootenai,,187,1
4164432,114400.0,American,Native Americans (Central),"rural populations, locally recognized as indiginous",,196,1
4164433,114400.0,American,Native Americans (North),"rural populations, locally recognized as indiginous",,946,1
4164434,114400.0,American,Native Americans (South),"rural populations, locally recognized as indiginous",,214,1
4164435,114404.0,American,Native American/Alaska Native,,US military volunteers,7,1
4164436,3001761.0,American,American (1000 Genome),,healthy subjects,345,1
4164437,114851.0,Central/South Asian,Indian,West and central India,healthy,881,1
4164438,114853.0,Central/South Asian,Indian,living in Malaysia,healthy subjects,83,1
4164439,114878.0,Central/South Asian,Tamil,,healthy subjects,106,1
4164440,114855.0,Central/South Asian,Indian,"Andhra Pradesh, South India",healthy,106,1
4164441,114855.0,Central/South Asian,Indian,"Karanatka, South India",healthy,94,1
4164442,114855.0,Central/South Asian,Indian,"Kerala, South India",healthy,107,1
4164443,114855.0,Central/South Asian,Indian,"Tamildadu, South India",healthy,140,1
4164444,114421.0,Central/South Asian,South/Central Asia,,Human Genome Diversity Panels,210,1
4164445,114695.0,Central/South Asian,Indian,"Ahmedabad, Gujarat, West India",healthy subjects,160,1
4164446,114861.0,Central/South Asian,Indian,"Uttar Pradash, North India",healthy,300,1
4164447,114863.0,Central/South Asian,Indian,North Indians,healthy,125,1
4164448,114865.0,Central/South Asian,Indian,"Jawaharlal, South Indians",Breast cancer,132,1
4164449,114406.0,Central/South Asian,Trinidadian,Indo-Trinidadians,healthy subjects,167,1
4164450,114867.0,Central/South Asian,Indian,Madras,hypertensive patients and controls,160,1
4164451,114874.0,Central/South Asian,Pakistani,Rawalpindi,breast cancer,223,1
4164452,114876.0,Central/South Asian,Pakistani,"Pathan/Khyber, Pakhtunkhwa province",healthy volunteers,200,1
4164453,114569.0,Central/South Asian,Indian,Singapore,TTSH Biobank,179,1
4164454,114870.0,Central/South Asian,Indian,subjects of Kashmir origin,controls,200,1
4164455,114872.0,Central/South Asian,Indian,"Western India, Mumbai",healthy volunteers,49,1
4164456,114880.0,Central/South Asian,Indian,South Indian,MDD patients,105,1
4164457,3001761.0,Central/South Asian,South Asian (SAS) (1000 genome),,healthy subjects,481,1
4164458,114580.0,East Asian,Japanese,,healthy subjects,318,1
4164459,114582.0,East Asian,Japanese,,healthy subjects,98,1
4164460,114584.0,East Asian,Japanese,,healthy subjects,162,1
4164461,114586.0,East Asian,Japanese,,healthy subjects,206,1
4164462,114632.0,East Asian,Malay,Kuala Lumpur,healthy subjects,107,1
4164463,114588.0,East Asian,Japanese,,healthy subjects,151,1
4164464,114540.0,East Asian,Chinese,,healthy subjects,223,1
4164465,114590.0,East Asian,Japanese,,healthy subjects,162,1
4164466,114542.0,East Asian,Chinese,living in Malaysia,healthy subjects+patients,236,1
4164467,114592.0,East Asian,Japanese,,healthy subjects,86,1
4164468,114594.0,East Asian,Japanese,,subjects on antiarrythmic drugs and/or beta-blockers,254,1
4164469,114596.0,East Asian,Japanese,,healthy subjects,286,1
4164470,114598.0,East Asian,Japanese,,healthy subjects,285,1
4164471,114620.0,East Asian,Korean,,anonymized subjects,400,1
4164472,114544.0,East Asian,Chinese,,healthy subjects,295,1
4164473,114546.0,East Asian,Chinese,Eastern Han,healthy subjects,363,1
4164474,114421.0,East Asian,East Asian,,Human Genome Diversity Panels,241,1
4164475,114548.0,East Asian,Chinese,Singapore,healthy subjects,100,1
4164476,114548.0,East Asian,Japanese,1st generation Japanese,healthy subjects,105,1
4164477,114548.0,East Asian,Japanese,3rd generation Japanese,healthy subjects,82,1
4164478,114548.0,East Asian,Japanese,Native Japanese,healthy subjects,100,1
4164479,114548.0,East Asian,Korean,,healthy subjects,100,1
4164480,114550.0,East Asian,Chinese,"Han, Shanghai",healthy subjects,100,1
4164481,114550.0,East Asian,Chinese,"Han, Shantou",healthy subjects,100,1
4164482,114550.0,East Asian,Chinese,"Han, Shenyang",healthy subjects,100,1
4164483,114550.0,East Asian,Chinese,"Han, Xi'an",healthy subjects,100,1
4164484,114603.0,East Asian,Japanese,,healthy subjects,455,1
4164485,114623.0,East Asian,Korean,,healthy subjects,758,1
4164486,114656.0,East Asian,Vietnamese,Kinh origin,healthy subjects,74,1
4164487,114554.0,East Asian,Chinese,"Han, Beijing",HapMap and healthy subjects,100,1
4164488,114556.0,East Asian,Chinese,Han,DNA Repository of the PGRC,89,1
4164489,114556.0,East Asian,Korean,,DNA Repository of the PGRC,758,1
4164490,114556.0,East Asian,Vietnamese,Viet Kinh,DNA Repository of the PGRC,122,1
4164491,114607.0,East Asian,Japanese,,breast cancer,282,1
4164492,114605.0,East Asian,Japanese,,healthy subjects,98,1
4164493,114558.0,East Asian,Chinese,Han,healthy subjects,500,1
4164494,114558.0,East Asian,Japanese,,healthy subjects,398,1
4164495,114558.0,East Asian,Korean,,healthy subjects,200,1
4164496,114641.0,East Asian,Thai,,healthy subjects,288,1
4164497,114627.0,East Asian,Korean,,healthy subjects,49,1
4164498,114610.0,East Asian,Japanese,,breast cancer patients,98,1
4164499,114574.0,East Asian,Chinese,Han Chinese; across China,healthy subjects,214,1
4164500,114574.0,East Asian,Chinese,Hui Chinese; Ningxia Hui Autonomous Region,healthy subjects,111,1
4164501,114574.0,East Asian,Mongolian,China; Inner Mongolia Autonomous Region,healthy subjects,129,1
4164502,114560.0,East Asian,Chinese,Han,healthy subjects,136,1
4164503,114560.0,East Asian,Chinese,Hui,healthy subjects,164,1
4164504,114560.0,East Asian,Mongolian,living in China,healthy subjects,158,1
4164505,114560.0,East Asian,Uyghur,living in China,healthy subjects,214,1
4164506,114643.0,East Asian,Thai,,breast cancer patients,57,1
4164507,114653.0,East Asian,Tibetan,living in China,healthy subjects,96,1
4164508,114578.0,East Asian,Filipino,,breast cancer patients,138,1
4164509,114578.0,East Asian,Vietnamese,,breast cancer patients,86,1
4164510,114572.0,East Asian,Chinese,Han Chinese; northern and southern regions,healthy,1954,1
4164511,114563.0,East Asian,Chinese,residing in Ningxia,healthy and hyperlipidemia patients,350,1
4164512,114565.0,East Asian,Chinese,residing in Seoul,"all male, healthy subjects",130,1
4164513,114565.0,East Asian,Japanese,Fukuoka,"healthy subjects, 81% male",208,1
4164514,114565.0,East Asian,Korean,seoul or Gyeonggi-do,"all male, healthy subjects",448,1
4164515,114567.0,East Asian,Chinese,Eastern Han,healthy,229,1
4164516,114613.0,East Asian,Japanese,,healthy,1017,1
4164517,114634.0,East Asian,Malay,Breat cancer,,52,1
4164518,312209.0,East Asian,Thai,,healthy,190,1
4164519,114647.0,East Asian,Thai,,autistic children,86,1
4164520,114569.0,East Asian,Chinese,Singapore,TTSH Biobank,201,1
4164521,114569.0,East Asian,Malay,Singapore,TTSH Biobank,126,1
4164522,114639.0,East Asian,Russian,"Nanai, Khabarovsk territory, Russian Far East",healthy volunteers,70,1
4164523,114649.0,East Asian,Thai,,autistic children,97,1
4164524,114630.0,East Asian,Korean,,healthy subjects,3417,1
4164525,114651.0,East Asian,Thai,,healthy volunteers,721,1
4164526,114615.0,East Asian,Japanese,,controls (no methamphetamine),567,1
4164527,114615.0,East Asian,Japanese,,methamphetamine abusers,82,1
4164528,114618.0,East Asian,Karen,living in Thailand/Myanmar border region,,70,1
4164529,114659.0,East Asian,Vietnamese,Kinh origin,Healthy volunteers,136,1
4164530,3001761.0,East Asian,East Asian (1000 genome),,healthy subjects,502,1
4164531,114703.0,European,French,,healthy(n=144); various diseases (n=528),672,1
4164532,114705.0,European,German,,healthy subjects,589,1
4164533,114707.0,European,German,,healthy subjects,195,1
4164534,114363.0,European,Caucasian,,healthy subjects,464,1
4164535,114736.0,European,North American,,healthy subjects,208,1
4164536,114688.0,European,Dutch,,healthy subjects,765,1
4164537,114365.0,European,North American,Southern CA,healthy subjects,143,1
4164538,114751.0,European,Norwegian,,healthy subjects,83,1
4164539,114755.0,European,Polish,,healthy subjects,300,1
4164540,114674.0,European,Croatian,,healthy subjects,200,1
4164541,114369.0,European,North American,Kansas City,healthy subjects,203,1
4164542,114767.0,European,Russian,Voronezh Region,71 healthy+other misc patients,290,1
4164543,114771.0,European,Sardinian,,healthy subjects,48,1
4164544,114771.0,European,Spanish,Southern Spain,healthy subjects,51,1
4164545,114709.0,European,German,,healthy subjects,308,1
4164546,114720.0,European,Italian,,healthy subjects,360,1
4164547,114793.0,European,Swedish,,blood donors,281,1
4164548,114793.0,European,Swedish,,fatal intoxication cases,236,1
4164549,114373.0,European,North American,Kansas City,healthy subjects,203,1
4164550,114693.0,European,Faroese,,healthy subjects,309,1
4164551,114681.0,European,Danish,,healthy subjects,276,1
4164552,114379.0,European,North American,,healthy subjects,209,1
4164553,114670.0,European,Caucasian,,hepatocytes,51,1
4164554,114774.0,European,Spanish,,healthy subjects,105,1
4164555,114683.0,European,Danish,,healthy controls,244,1
4164556,114683.0,European,Danish,,psychiatric patients,225,1
4164557,114711.0,European,German,,healthy subjects,308,1
4164558,114132.0,European,Greek,,healthy subjects,283,1
4164559,114776.0,European,Spanish,Barcelona,Trauma service patients,290,1
4164560,114385.0,European,North American,,healthy subjects,339,1
4164561,114381.0,European,North American,,healthy subjects,262,1
4164562,114421.0,European,European,,Human Genome Diversity Panels,157,1
4164563,114677.0,European,Czech,,healthy subjects,223,1
4164564,114778.0,European,Spanish,Barcelona,psychiatric patients (no extrapyramidal symptoms),188,1
4164565,114778.0,European,Spanish,Barcelona,psychiatric patients (with extrapyramidal symptoms),79,1
4164566,114387.0,European,North American,,healthy subjects+patients with unrelated disease,347,1
4164567,114753.0,European,Norwegian,,breast cancer patients,151,1
4164568,114548.0,European,Caucasian,,healthy subjects,142,1
4164569,114757.0,European,Portugese,,healthy subjects,100,1
4164570,114410.0,European,Brazilian,European descent,healthy subjects,92,1
4164571,114410.0,European,Brazilian,European descent,schizophrenia patients,186,1
4164572,114800.0,European,Swiss,,healthy subjects,165,1
4164573,114408.0,European,Brazilian,"European descent, Sao Paulo",general population treated at hospital,178,1
4164574,114695.0,European,Finnish,Kankaanpää. West Finnish,healthy subjects,56,1
4164575,114695.0,European,Finnish,"Suomussalami, Est Finnish",healthy subjects,86,1
4164576,114389.0,European,North American,Kentucky,mentally ill patients,3779,1
4164577,114722.0,European,Italian,,healthy subjects,218,1
4164578,114722.0,European,Italian,,multiple chemical sensitivity patients,110,1
4164579,114781.0,European,Spanish,La Alpujarra region,healthy subjects,104,1
4164580,114781.0,European,Spanish,,healthy subjects,185,1
4164581,114391.0,European,North American,Kansas City,healthy subjects,237,1
4164582,114391.0,European,Spanish,,healthy subjects+psychiatric patients,176,1
4164583,114558.0,European,North American & European,,healthy subjects,454,1
4164584,114686.0,European,Danish,,multiple myeloma patients,228,1
4164585,114796.0,European,Swedish,,fatal intoxication cases,239,1
4164586,114796.0,European,Swedish,,natural death cases,205,1
4164587,114796.0,European,Swedish,,suicide cases,254,1
4164588,114664.0,European,Austrian,,healthy subjects,93,1
4164589,114714.0,European,Hungarian,,healthy subjects,112,1
4164590,114725.0,European,Italian,,"breast cancer, controls",300,1
4164591,114517.0,European,Cuban,European descent,healthy subjects,130,1
4164592,114679.0,European,Czech,,orthopedic patients (knee arthroscopy),156,1
4164593,312282.0,European,Portugese,,healthy,1138,1
4164594,114785.0,European,Spanish,,breast cancer,133,1
4164595,114718.0,European,Hungarian,,recurrent unipolar depression patients,55,1
4164596,114746.0,European,North American,,orthopedic trauma patients,112,1
4164597,114787.0,European,Spanish,,breast cancer,90,1
4164598,114733.0,European,Macedonian,,healthy,184,1
4164599,114802.0,European,Swiss,,breast cancer,99,1
4164600,114802.0,European,Swiss,,breast cancer,99,1
4164601,114690.0,European,Dutch & Belgian,,breast cancer,196,1
4164602,114662.0,European,Albanian,,DNA bank,100,1
4164603,114662.0,European,Macedonian,,DNA bank,100,1
4164604,114662.0,European,Roma,,DNA bank,100,1
4164605,114769.0,European,Russian,St Petersburg,blood donors,1230,1
4164606,114716.0,European,Hungarian,,healthy,431,1
4164607,114716.0,European,Roma,,healthy,426,1
4164608,114444.0,European,Caucasian,"Helena, Montana",psychiatric patients,688,1
4164609,114698.0,European,Finnish,living in Helsinki region,healthy volunteers,857,1
4164610,114789.0,European,Spanish,,first episode psychosis patients,70,1
4164611,114791.0,European,Spanish,Madrid,healthy subjects,148,1
4164612,114727.0,European,Italian,central Italy,healthy volunteers,55,1
4164613,114727.0,European,Italian,northern Italy,healthy volunteers,64,1
4164614,114727.0,European,Italian,southern Italy,healthy volunteers,55,1
4164615,114731.0,European,Italian,,patient control cohort,169,1
4164616,114395.0,European,North American,"self defined as 'Caucasian', living in the US",patients for which a PGx test was ordered,37571,1
4164617,114400.0,European,Portugese & Spanish,Iberian,,1530,1
4164618,114700.0,European,Finnish,,female controls,597,1
4164619,114700.0,European,Finnish,,male controls,257,1
4164620,114761.0,European,Portugese,,women after giving birth,55,1
4164621,114761.0,European,Portugese,,women of child-bearing age,53,1
4164622,114404.0,European,White/Caucasian,,US military volunteers,300,1
4164623,3001761.0,European,European (1000 genome),,healthy subjects,498,1
4164624,114531.0,Latino,Nicaraguan,,healthy subjects,137,1
4164625,114513.0,Latino,Columbian,Mestizo-prevalent,healthy subjects,121,1
4164626,114491.0,Latino,American,"Mexican American, Southern CA",healthy subjects,349,1
4164627,114493.0,Latino,American,"Mexican American, El Paso, TX",healthy subjects,50,1
4164628,114495.0,Latino,American,"Mexican American, Southern CA",healthy subjects,264,1
4164629,114523.0,Latino,Mexican,Mestizos,healthy subjects,243,1
4164630,114470.0,Latino,Mexican,"Mestizos, Nuevo Ideal",healthy subjects,110,1
4164631,114535.0,Latino,Puerto Rican,,random newborns,94,1
4164632,114408.0,Latino,Brazilian,"Mulatto, Sao Paulo",general population treated at hospital,89,1
4164633,114499.0,Latino,Brazilian,Sao Paulo,ALL pediatric patients,95,1
4164634,114391.0,Latino,American,Hispanic living in Kansas City,anonymous subjects,150,1
4164635,114391.0,Latino,Puerto Rican,,psychiatric patients,50,1
4164636,114459.0,Latino,Mexican,6 different Mestizo subpopulations,healthy subjects,96,1
4164637,114533.0,Latino,Nicaraguan,Mestizos,healthy subjects,98,1
4164638,114502.0,Latino,Brazilian,Porto Allegre,breast cancer patients,97,1
4164639,114521.0,Latino,Ecuadorian,Mestizo,healthy subjects,118,1
4164640,114480.0,Latino,Venezuelan,"urban admixed, city of Barquisimeto",healthy subjects,149,1
4164641,114517.0,Latino,Cuban,Mestizos,healthy subjects,126,1
4164642,114506.0,Latino,Chilean,"Santiago de Chile, (37% Amerindian/Caucasian)",healthy subjects,253,1
4164643,114461.0,Latino,Mexican,Western Mestizos,healthy subjects,125,1
4164644,114402.0,Latino,Costa Rican,Mestizos,healthy,139,1
4164645,114504.0,Latino,Brazilian,"North, Northeast, Southeast, South",healthy subjects,1020,1
4164646,114468.0,Latino,Mexican,"Mestizos, Chiapas",healthy,100,1
4164647,114472.0,Latino,Mexican,"Mestizo, Nuevo Léon, NE Mexico",healthy,102,1
4164648,114472.0,Latino,Mexican,"Mestizo, San Critobal de las Casas",healthy,102,1
4164649,114508.0,Latino,Chilean,"Mestizos (general population, Santiago)",healthy,321,1
4164650,114510.0,Latino,Chilean,"Mestizos, eastern part hospital of San Jose",healthy volunteers,123,1
4164651,114510.0,Latino,Chilean,"Mestizos, northern part of San Jose",healthy volunteers,121,1
4164652,114519.0,Latino,Cuban,,healthy subjects,174,1
4164653,114395.0,Latino,American,"self defined as 'Hispanic', living in the US",subjects receiving PGx testing,2072,1
4164654,114400.0,Latino,Admixed Latin American,Mestizo,,1898,1
4164655,114400.0,Latino,Cuban,White Latin American; 4 white grandparents,,267,1
4164656,114404.0,Latino,Hispanic/LatinX,,US military volunteers,94,1
4164657,114818.0,Near Eastern,Saudi Arabian,,healthy subjects,101,1
4164658,114823.0,Near Eastern,Turkish,SE Anatolia,healthy subjects,404,1
4164659,114771.0,Near Eastern,Syrian,,healthy subjects,51,1
4164660,114809.0,Near Eastern,Bedouin,Israel,healthy subjects,50,1
4164661,114825.0,Near Eastern,Turkish,,healthy subjects,140,1
4164662,114827.0,Near Eastern,Turkish,Bursa,,100,1
4164663,114806.0,Near Eastern,Ashkenazi Jews,New York,healthy subjects,250,1
4164664,114421.0,Near Eastern,Middle-Eastern,,Human Genome Diversity Panels,148,1
4164665,114813.0,Near Eastern,Iranian,Eastern Azerbaijan,healthy subjects,100,1
4164666,114815.0,Near Eastern,Iranian,Mazandaran,healthy subjects,100,1
4164667,114811.0,Near Eastern,Emirati,United Arab Emirates,majority psychiatric patients,302,1
4164668,114829.0,Near Eastern,Turkish,Middle Black Seas area,"patients with arthritis, joint/back pain",249,1
